Asteroid designations ( Number, Name, Temporary designation): 152564, -,  J92H00F
Observation was done on (UT) (format YYYY-MM-DD-hh): 2015 - 05 - 26 - 23:48
Observation was made by : M. Popescu, I. Ordonez E-mail; mpopescu@imcce.fr
At observatory with UAI code: 950
Obsv. comments: 
The spectrum was published in the article: Unpublished;Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 152564vshd117845.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4510000 0.80423 0.00364
0.4526000 0.86220 0.00552
0.4542000 0.85867 0.00739
0.4558000 0.89839 0.00926
0.4575000 0.80887 0.01114
0.4591000 0.84647 0.01301
0.4607000 0.87792 0.01489
0.4623000 0.93185 0.01676
0.4640000 0.89224 0.01864
0.4656000 0.93054 0.02051
0.4672000 0.90867 0.02238
0.4688000 0.91371 0.02426
0.4705000 0.90373 0.02613
0.4721000 0.92702 0.02427
0.4737000 0.97399 0.02556
0.4753000 0.90423 0.02527
0.4769000 0.94456 0.02394
0.4786000 0.91915 0.02450
0.4802000 0.94123 0.02418
0.4818000 0.99556 0.02465
0.4834000 0.95615 0.02428
0.4851000 0.95998 0.02526
0.4867000 0.95575 0.03111
0.4883000 0.98851 0.03696
0.4899000 0.94657 0.02317
0.4916000 0.99133 0.02315
0.4932000 0.96391 0.02237
0.4948000 0.96008 0.02275
0.4964000 0.93135 0.02220
0.4981000 0.96502 0.02185
0.4997000 0.92823 0.02310
0.5013000 0.96200 0.02099
0.5029000 0.97732 0.02200
0.5046000 1.05081 0.02105
0.5062000 0.99123 0.02093
0.5078000 1.04042 0.02307
0.5095000 0.93710 0.02060
0.5111000 0.93327 0.02034
0.5127000 1.03548 0.02141
0.5143000 1.00393 0.02120
0.5160000 0.93004 0.02037
0.5176000 1.02550 0.02180
0.5192000 1.01250 0.02104
0.5208000 1.02157 0.01993
0.5225000 1.02520 0.02073
0.5245000 0.96200 0.01979
0.5261000 0.98296 0.02007
0.5278000 1.04093 0.01991
0.5294000 1.01139 0.01967
0.5310000 1.02591 0.01942
0.5326000 0.97893 0.01974
