Asteroid designations ( Number, Name, Temporary designation): 275611, -,  J99XQ2X
Observation was done on (UT) (format YYYY-MM-DD-hh): 2014 - 09 - 03 - 01:00
Observation was made by : O. Vaduvescu; M. Popescu E-mail; ovidiu.vaduvescu@gmail.com;
At observatory with UAI code: 950
Obsv. comments: INT/IDS; If this spectrum is usefull please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished; Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 275611vshd216516.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4022000 0.98582 0.01996
0.4063000 0.94867 0.01931
0.4103000 0.98842 0.01867
0.4148000 0.95676 0.01803
0.4185000 0.99121 0.01738
0.4221000 0.96635 0.01674
0.4258000 0.97523 0.01610
0.4294000 0.97184 0.01545
0.4331000 1.00409 0.01481
0.4367000 0.99051 0.01417
0.4404000 0.98752 0.01352
0.4440000 1.03954 0.01288
0.4477000 1.00609 0.01224
0.4513000 1.03056 0.01159
0.4550000 1.00060 0.01095
0.4586000 1.00170 0.01031
0.4623000 0.99241 0.00966
0.4659000 1.01748 0.00902
0.4696000 0.98462 0.00838
0.4732000 0.98981 0.00784
0.4769000 1.03265 0.00789
0.4805000 0.99950 0.00766
0.4842000 1.02936 0.00786
0.4878000 1.01917 0.00791
0.4915000 0.98822 0.00739
0.4951000 0.98702 0.00704
0.4988000 0.99990 0.00757
0.5025000 0.98103 0.00730
0.5061000 0.97384 0.00687
0.5098000 0.98722 0.00685
0.5134000 0.96115 0.00715
0.5171000 0.97264 0.00716
0.5208000 0.95836 0.00675
0.5244000 1.01618 0.00648
0.5281000 0.99391 0.00647
0.5317000 1.00230 0.00647
0.5354000 1.00180 0.00634
0.5391000 0.97793 0.00635
0.5427000 1.01538 0.00637
0.5464000 0.99660 0.00639
0.5501000 1.00000 0.00636
0.5537000 1.00000 0.00650
0.5574000 0.99011 0.01252
0.5611000 0.99581 0.00670
0.5647000 0.98802 0.00642
0.5684000 1.01168 0.00672
0.5721000 1.01358 0.00644
0.5758000 1.02297 0.00653
0.5794000 1.00449 0.00651
0.5831000 1.00180 0.00637
0.5868000 1.00399 0.00779
0.5904000 0.98882 0.01130
0.5941000 1.02526 0.00688
0.5978000 1.00050 0.00653
0.6015000 0.99331 0.00647
0.6051000 0.96715 0.00619
0.6088000 1.00310 0.00620
0.6125000 0.95007 0.00641
0.6162000 0.96335 0.00659
0.6198000 0.96675 0.00630
0.6235000 0.98173 0.00711
0.6272000 0.98882 0.00738
0.6309000 0.96755 0.00844
0.6346000 0.97663 0.00709
0.6382000 0.96325 0.00687
0.6419000 0.95506 0.00649
0.6456000 0.97174 0.00714
0.6493000 0.93809 0.00754
0.6530000 0.96006 0.00731
0.6567000 0.96066 0.00815
0.6603000 0.91941 0.00671
0.6640000 0.95836 0.00650
0.6677000 0.93839 0.00646
0.6714000 0.91991 0.00639
0.6751000 0.94468 0.00641
0.6788000 0.95327 0.00627
0.6825000 0.93799 0.00760
0.6862000 0.92331 0.00862
0.6898000 0.96056 0.00795
0.6935000 0.94498 0.00821
0.6972000 0.93829 0.00752
0.7009000 0.92910 0.00739
0.7046000 0.93509 0.00749
0.7083000 0.93379 0.00741
0.7120000 0.93200 0.00695
0.7157000 0.92670 0.00797
0.7194000 0.95676 0.00806
0.7231000 0.95007 0.01117
0.7268000 0.94438 0.01123
0.7305000 0.91891 0.01060
0.7342000 0.96605 0.01040
0.7379000 0.91422 0.01012
0.7416000 0.91492 0.00892
0.7453000 0.90074 0.00900
0.7490000 0.90174 0.00881
0.7527000 0.90473 0.01011
0.7564000 0.92670 0.00983
0.7607000 0.98133 0.01841
0.7646000 0.93429 0.01330
0.7683000 0.94697 0.00947
0.7720000 0.88296 0.01343
0.7757000 0.91901 0.01416
0.7794000 0.88856 0.01339
0.7831000 0.92431 0.01427
0.7868000 0.92141 0.01636
0.7905000 0.91562 0.01536
0.7942000 0.90763 0.01425
0.7979000 0.93170 0.01640
0.8016000 0.94368 0.01435
0.8054000 0.93339 0.01273
0.8091000 0.88926 0.01232
0.8128000 0.89964 0.01217
0.8165000 0.93080 0.01364
0.8202000 0.94198 0.01347
0.8239000 0.90354 0.01360
0.8276000 0.87517 0.01899
0.8313000 0.90823 0.01716
0.8350000 0.91542 0.02317
0.8388000 0.93589 0.01917
0.8430000 0.91752 0.01963
0.8470000 0.92750 0.01880
0.8507000 0.91482 0.01770
0.8545000 0.93619 0.01706
0.8582000 0.93180 0.01810
0.8619000 0.89255 0.01914
0.8656000 0.89075 0.02333
0.8693000 0.89215 0.02471
0.8730000 0.87537 0.02609
0.8771000 0.91352 0.02747
0.8809000 0.92071 0.02169
0.8846000 0.94178 0.02639
0.8883000 0.88546 0.02569
0.8921000 0.95007 0.02695
0.8958000 0.95376 0.02820
