Asteroid designations ( Number, Name, Temporary designation): 22099, -,  K00EA6X, 1994 BX4, J94B04X
Observation was done on (UT) (format YYYY-MM-DD-hh): 2015 - 03 - 11 - 04:35
Observation was made by : O. Vaduvescu, F. Lopez E-mail; ovidiu.vaduvescu@gmail.com
At observatory with UAI code: 950
Obsv. comments: If this spectrum is usefull for you please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished;Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 22099vshd98562.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4013000 0.81493 0.05029
0.4034000 0.86200 0.04645
0.4058000 0.76976 0.04565
0.4078000 0.83193 0.04519
0.4097000 0.83876 0.04374
0.4114000 0.85878 0.04038
0.4136000 0.79159 0.03804
0.4155000 0.81633 0.03688
0.4171000 0.86964 0.03808
0.4187000 0.82730 0.03672
0.4204000 0.78767 0.03500
0.4220000 0.78978 0.03409
0.4236000 0.82157 0.03404
0.4252000 0.79883 0.03670
0.4269000 0.84108 0.03197
0.4289000 0.84178 0.03490
0.4309000 0.90404 0.03702
0.4326000 0.81694 0.03127
0.4342000 0.84822 0.03163
0.4358000 0.84611 0.02699
0.4374000 0.82338 0.02792
0.4391000 0.85295 0.02965
0.4407000 0.88684 0.02875
0.4423000 0.83203 0.02529
0.4439000 0.83052 0.02558
0.4456000 0.86190 0.02549
0.4472000 0.84701 0.02428
0.4488000 0.88423 0.02270
0.4504000 0.85335 0.02185
0.4521000 0.78415 0.02362
0.4537000 0.91642 0.02311
0.4553000 0.87960 0.02249
0.4570000 0.83846 0.02240
0.4586000 0.85043 0.02046
0.4602000 0.89268 0.02191
0.4618000 0.84581 0.01931
0.4635000 0.89580 0.02070
0.4651000 0.90595 0.02001
0.4667000 0.84782 0.02081
0.4683000 0.89449 0.01999
0.4700000 0.87035 0.02038
0.4716000 0.87326 0.01920
0.4732000 0.83122 0.01899
0.4749000 0.94136 0.01826
0.4765000 0.85204 0.01829
0.4781000 0.92959 0.01790
0.4797000 0.90153 0.01729
0.4814000 0.89449 0.01711
0.4830000 0.91209 0.01812
0.4846000 0.89288 0.01839
0.4863000 0.92507 0.01974
0.4879000 0.92758 0.01737
0.4895000 0.91440 0.01730
0.4911000 0.90867 0.01753
0.4928000 0.93714 0.01658
0.4944000 0.98230 0.01632
0.4960000 0.94629 0.01716
0.4977000 0.92849 0.01690
0.4993000 0.94267 0.01612
0.5009000 0.92818 0.01678
0.5026000 0.94558 0.01562
0.5042000 0.92909 0.01613
0.5058000 0.94408 0.01536
0.5074000 0.91471 0.01550
0.5091000 0.94921 0.01584
0.5107000 0.96972 0.01429
0.5123000 0.90545 0.01580
0.5140000 0.98612 0.01585
0.5156000 0.92074 0.01583
0.5172000 0.97958 0.01720
0.5189000 0.99618 0.01636
0.5205000 0.97998 0.01592
0.5221000 0.96449 0.01565
0.5238000 0.99728 0.01510
0.5254000 0.98672 0.01522
0.5270000 0.99557 0.01487
0.5287000 0.97184 0.01384
0.5303000 1.00282 0.01438
0.5319000 0.97033 0.01429
0.5336000 0.99155 0.01431
0.5352000 0.99970 0.01385
0.5368000 0.95625 0.01369
0.5384000 0.99990 0.01458
0.5401000 0.98290 0.01476
0.5417000 0.99376 0.01401
0.5433000 0.95725 0.01353
0.5450000 0.99940 0.01369
0.5466000 1.01519 0.01304
0.5482000 0.97837 0.01424
0.5499000 1.00000 0.01364
0.5515000 0.99557 0.01312
0.5531000 1.03309 0.01389
0.5548000 1.02706 0.01392
0.5564000 1.04697 0.01901
0.5580000 0.97677 0.02935
0.5597000 0.98340 0.01406
0.5613000 1.02967 0.01333
0.5630000 0.99457 0.01327
0.5646000 1.02816 0.01450
0.5662000 1.02323 0.01338
0.5679000 1.01006 0.01339
0.5695000 0.97968 0.01380
0.5711000 0.98894 0.01395
0.5728000 1.00553 0.01325
0.5744000 1.03933 0.01276
0.5760000 1.01981 0.01369
0.5777000 1.00473 0.01303
0.5793000 1.01971 0.01324
0.5809000 1.02535 0.01222
0.5826000 1.02132 0.01238
0.5842000 1.02183 0.01311
0.5858000 1.02092 0.01364
0.5875000 1.01549 0.01367
0.5891000 1.00935 0.02344
0.5907000 1.04587 0.01488
0.5924000 1.04908 0.01318
0.5940000 1.03209 0.01266
0.5957000 0.99618 0.01307
0.5973000 1.07544 0.01308
0.5989000 0.99789 0.01346
0.6006000 1.02515 0.01270
0.6022000 1.03862 0.01257
0.6038000 1.02756 0.01224
0.6055000 1.03651 0.01300
0.6071000 1.07282 0.01293
0.6087000 1.02836 0.01242
0.6104000 1.03581 0.01235
0.6120000 1.06980 0.01287
0.6137000 1.06980 0.01304
0.6153000 1.03018 0.01250
0.6169000 1.03712 0.01363
0.6186000 1.04295 0.01271
0.6202000 1.04577 0.01290
0.6218000 1.06820 0.01253
0.6235000 1.07172 0.01510
0.6251000 1.06639 0.01391
0.6268000 1.07141 0.01377
0.6284000 1.05965 0.01415
0.6300000 1.03530 0.02136
0.6317000 1.05452 0.01413
0.6333000 1.06739 0.01393
0.6350000 1.08338 0.01439
0.6366000 1.09083 0.01571
0.6382000 1.09525 0.01314
