Asteroid designations ( Number, Name, Temporary designation): 90075, -,  K02V94U
Observation was done on (UT) (format YYYY-MM-DD-hh): 2014 - 07 - 28 - 05:22
Observation was made by : O. Vaduvescu; E-mail; ovidiu.vaduvescu@gmail.com;
At observatory with UAI code: 950
Obsv. comments: INT/IDS; If this spectrum is usefull please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished; Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 2002vu94vshd9761.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4011000 0.89112 0.09972
0.4032000 0.88795 0.09320
0.4050000 0.87126 0.09894
0.4066000 0.80475 0.08717
0.4082000 0.76085 0.07941
0.4099000 0.92632 0.07879
0.4115000 0.84128 0.08090
0.4131000 0.96582 0.07790
0.4147000 0.95753 0.07553
0.4164000 0.86850 0.07466
0.4180000 0.83289 0.07456
0.4196000 0.86983 0.08159
0.4212000 0.87792 0.07307
0.4229000 0.94494 0.06879
0.4245000 0.95508 0.06392
0.4261000 0.91619 0.06543
0.4277000 0.83361 0.06195
0.4294000 0.84374 0.07445
0.4310000 0.82542 0.07231
0.4326000 0.79799 0.05962
0.4342000 0.87679 0.06141
0.4359000 0.87833 0.05273
0.4375000 0.96889 0.05601
0.4391000 0.82685 0.05291
0.4407000 0.92724 0.04917
0.4424000 0.90616 0.04893
0.4440000 0.92131 0.04830
0.4456000 0.96101 0.04987
0.4473000 0.89306 0.04444
0.4489000 0.95528 0.04653
0.4505000 0.92202 0.04339
0.4521000 0.89132 0.04894
0.4538000 0.93062 0.04139
0.4554000 0.85765 0.04384
0.4570000 0.87904 0.04421
0.4586000 0.96111 0.04182
0.4603000 0.91046 0.04155
0.4619000 0.93512 0.03930
0.4635000 0.91916 0.03899
0.4652000 1.06324 0.04098
0.4668000 0.86185 0.04477
0.4684000 0.96592 0.03828
0.4700000 0.82818 0.04111
0.4717000 0.91230 0.03865
0.4733000 0.93962 0.03945
0.4749000 0.93717 0.03589
0.4766000 0.99652 0.03678
