Asteroid designations ( Number, Name, Temporary designation): 357439, 2004 BL86 ,  K04B86L, Z7439
Observation was done on (UT) (format YYYY-MM-DD-hh): 2015 - 02 - 07 - 10:22
Observation was made by : M. Birlan E-mail; birlan@imcce.fr
At observatory with UAI code: 568
Obsv. comments: 
The spectrum was published in the article: http://adsabs.harvard.edu/abs/2015A%26A...581A...3B
The normalization of this spectrum was made for the wavelength: 1.250 microns.
Original name of the file was: 357439NIR.txt
Wavelength[um]	Reflectance	sigma(optional)
0.7792400 0.90771 0.03182
0.7810100 0.92085 0.01868
0.7827800 0.89527 0.02581
0.7845700 0.92114 0.03789
0.7863600 0.86187 0.04052
0.7881600 0.94613 0.02729
0.7899700 0.95318 0.03481
0.7917900 0.84801 0.03094
0.7936100 0.94906 0.03644
0.7954500 0.96069 0.03066
0.7972900 0.88913 0.03644
0.7991400 0.92669 0.03643
0.8010000 0.94769 0.02957
0.8028700 0.80777 0.03180
0.8047500 0.91843 0.03757
0.8066400 0.94208 0.03095
0.8085300 0.90236 0.03291
0.8104400 0.89855 0.02478
0.8123500 0.89281 0.03402
0.8142700 0.88615 0.02075
0.8162000 0.87615 0.03538
0.8181400 0.84486 0.03822
0.8200900 0.90969 0.03394
0.8220400 0.87431 0.03384
0.8240100 0.85653 0.03191
0.8259800 0.86182 0.03450
0.8279600 0.77109 0.02849
0.8299500 0.83799 0.03100
0.8319500 0.83783 0.03398
0.8339600 0.85493 0.03871
0.8359800 0.79481 0.03437
0.8380100 0.83563 0.03472
0.8400400 0.80069 0.03649
0.8420800 0.78941 0.03232
0.8441300 0.79398 0.03944
0.8462000 0.76118 0.03024
0.8482700 0.74886 0.02937
0.8503400 0.75905 0.03767
0.8524300 0.76842 0.02589
0.8545200 0.75142 0.03577
0.8566300 0.75276 0.02982
0.8587400 0.74397 0.02829
0.8608600 0.74789 0.03542
0.8629900 0.74138 0.03625
0.8651300 0.76177 0.03525
0.8672800 0.72095 0.03064
0.8694300 0.70068 0.03520
0.8715900 0.71515 0.03339
0.8737700 0.71777 0.03012
0.8759400 0.65331 0.02531
0.8781300 0.65375 0.03726
0.8803300 0.70370 0.03369
0.8825400 0.70510 0.02945
0.8847500 0.66287 0.03668
0.8869700 0.66430 0.02705
0.8892000 0.66955 0.02918
0.8914400 0.66924 0.02781
0.8936800 0.67815 0.02832
0.8959400 0.63866 0.03657
0.8982000 0.65114 0.04005
0.9004700 0.65334 0.02295
0.9027500 0.66485 0.03631
0.9050400 0.66183 0.03496
0.9073300 0.63842 0.02103
0.9096300 0.63050 0.02081
0.9119500 0.68492 0.03495
0.9142600 0.63737 0.02295
0.9165900 0.65362 0.03364
0.9189200 0.64394 0.02841
0.9212600 0.65108 0.02941
0.9236100 0.64305 0.02410
0.9259700 0.65690 0.03553
0.9283300 0.60953 0.03155
0.9307000 0.64085 0.02815
0.9330800 0.64406 0.03140
0.9354700 0.65633 0.03478
0.9378600 0.61839 0.04010
0.9402600 0.61968 0.03973
0.9426700 0.66452 0.03970
0.9450900 0.64878 0.03238
0.9475100 0.59997 0.03999
0.9499400 0.62659 0.03514
0.9523800 0.63601 0.04097
0.9548200 0.63196 0.03662
0.9572700 0.63561 0.03666
0.9597300 0.58652 0.02597
0.9622000 0.64422 0.03255
0.9646700 0.63485 0.02847
0.9671500 0.64685 0.02451
0.9696300 0.65907 0.03580
0.9721200 0.63257 0.03746
0.9746200 0.66829 0.03634
0.9771300 0.68852 0.03592
0.9796400 0.65761 0.03759
0.9821600 0.65029 0.03945
0.9846800 0.67013 0.02545
0.9872100 0.63912 0.03876
0.9897500 0.68413 0.03698
0.9922900 0.64336 0.03926
0.9948400 0.67187 0.03909
0.9974000 0.69659 0.03742
0.9999600 0.69901 0.03720
1.0025300 0.68841 0.03674
1.0051000 0.70930 0.03752
1.0076800 0.72298 0.03588
1.0102600 0.73003 0.03470
1.0128600 0.70838 0.03867
1.0154500 0.74079 0.03586
1.0180500 0.72689 0.03618
1.0206600 0.70018 0.03196
1.0232800 0.74254 0.02809
1.0258900 0.77305 0.03081
1.0285200 0.74251 0.03712
1.0311500 0.76308 0.02660
1.0337800 0.78947 0.03901
1.0364200 0.76218 0.03510
1.0390700 0.78079 0.03426
1.0417200 0.82879 0.03616
1.0443800 0.80061 0.03549
1.0470400 0.80154 0.03569
1.0497000 0.81614 0.03537
1.0523700 0.80306 0.03758
1.0550500 0.82325 0.03653
1.0577300 0.80013 0.03726
1.0604100 0.85486 0.03266
1.0631000 0.84500 0.03657
1.0658000 0.85262 0.03611
1.0684900 0.89951 0.03306
1.0712000 0.89768 0.03598
1.0739000 0.85603 0.03530
1.0766100 0.88399 0.02834
1.0793300 0.90915 0.03281
1.0820500 0.86694 0.03776
1.0847700 0.88211 0.03796
1.0875000 0.88458 0.03889
1.0902300 0.92110 0.03396
1.0929700 0.89926 0.03551
1.0957100 0.88616 0.03546
1.0984500 0.93243 0.03508
1.1012000 0.94293 0.03703
1.1039500 0.90506 0.03634
1.1067100 0.94603 0.03257
1.1094700 0.95911 0.03619
1.1122300 0.95665 0.03519
1.1149900 0.98817 0.03513
1.1177600 0.97734 0.02749
1.1205400 0.99917 0.03243
1.1233100 0.98560 0.03480
1.1260900 0.96238 0.03531
1.1288700 1.00725 0.03148
1.1316600 1.01492 0.02947
1.1344500 0.92195 0.03546
