Asteroid designations ( Number, Name, Temporary designation): -, -, K05N56A
Observation was done on (UT) (format YYYY-MM-DD-hh): 2015 - 02 - 07 - 05:11
Observation was made by : M. Popescu, F. Lopez E-mail; mpopescu@imcce.fr
At observatory with UAI code: 950
Obsv. comments: If this spectrum is usefull for you please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished;Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 2005na56vshd79078.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4508000 0.93543 0.04879
0.4525000 0.96762 0.05178
0.4544000 0.93053 0.05080
0.4561000 0.84889 0.04665
0.4585000 0.86282 0.05195
0.4602000 0.82161 0.04773
0.4622000 0.79403 0.04658
0.4639000 0.90178 0.04558
0.4655000 0.91306 0.04530
0.4671000 0.90796 0.04815
0.4688000 0.91345 0.04596
0.4704000 0.83122 0.04392
0.4720000 0.85909 0.04128
0.4736000 0.93671 0.04105
0.4753000 0.86262 0.04235
0.4769000 1.02777 0.04255
0.4785000 0.92238 0.04025
0.4802000 0.90021 0.03985
0.4818000 0.92572 0.04273
0.4834000 0.93710 0.04495
0.4850000 0.91463 0.04513
0.4867000 1.04327 0.04622
0.4883000 0.89393 0.04025
0.4899000 0.92130 0.04089
0.4916000 0.93936 0.03969
0.4932000 0.94593 0.03988
0.4948000 0.93033 0.03943
0.4964000 0.96909 0.03910
0.4981000 0.94682 0.04044
0.4997000 0.93975 0.03796
0.5013000 1.00216 0.04054
0.5030000 0.93573 0.03896
0.5046000 0.94544 0.04062
0.5062000 0.98047 0.03839
0.5079000 0.95545 0.03850
0.5095000 0.96301 0.03776
0.5111000 0.99637 0.03808
0.5127000 0.98940 0.03828
0.5144000 1.00442 0.03653
0.5160000 0.92896 0.03755
0.5176000 0.97321 0.03764
0.5193000 1.03376 0.03637
0.5209000 1.02502 0.03637
0.5225000 1.00756 0.03668
0.5242000 0.93102 0.03578
0.5258000 1.03640 0.03656
0.5274000 1.00805 0.03872
0.5291000 0.99352 0.03600
0.5307000 0.96693 0.03462
0.5323000 1.06790 0.03629
0.5340000 0.96055 0.03552
0.5356000 0.93857 0.03355
0.5372000 1.00049 0.03471
0.5389000 1.02679 0.03559
0.5405000 1.02944 0.03390
0.5421000 1.03101 0.03585
0.5438000 0.97930 0.03378
0.5454000 0.92533 0.03596
0.5470000 1.03248 0.03555
0.5487000 0.92896 0.03514
0.5503000 1.00000 0.03472
0.5519000 1.01913 0.03431
0.5536000 0.91326 0.03490
0.5552000 0.93710 0.03427
0.5568000 0.96340 0.03799
0.5585000 1.09047 0.04242
0.5601000 0.94024 0.03392
0.5617000 0.98155 0.03443
