Asteroid designations ( Number, Name, Temporary designation): -, -, K10S13L
Observation was done on (UT) (format YYYY-MM-DD-hh): 2014 - 02 - 12 - 00:00
Observation was made by : O. Vaduvescu; M. Popescu E-mail; mpopescu@imcce.fr
At observatory with UAI code: 950
Obsv. comments: INT/IDS instrument; If this spectrum is usefull please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished; Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 2010sl13vshd73708.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4827000 0.93199 0.01234
0.4895000 0.96210 0.01241
0.4954000 0.95402 0.01162
0.5006000 0.96069 0.01144
0.5059000 0.95978 0.01123
0.5111000 0.98656 0.01081
0.5171000 0.94836 0.01097
0.5233000 0.99282 0.01051
0.5294000 0.94189 0.01004
0.5357000 0.98565 0.00984
0.5409000 0.99929 0.00991
0.5463000 0.99757 0.00949
0.5515000 1.00000 0.00934
0.5567000 0.99899 0.00969
0.5623000 1.01395 0.00910
0.5675000 1.00798 0.02760
0.5727000 1.02698 0.00894
0.5779000 1.01950 0.02017
0.5830000 1.01475 0.00860
0.5888000 1.02547 0.00877
0.5942000 1.01900 0.00894
0.5996000 1.00798 0.00891
0.6050000 1.03810 0.00876
0.6104000 1.02921 0.00890
0.6160000 1.00647 0.00899
0.6217000 1.02153 0.00900
0.6270000 1.01920 0.00926
0.6326000 1.01041 0.00926
0.6382000 1.04305 0.00927
0.6438000 1.03638 0.00920
0.6493000 1.02658 0.00934
0.6553000 1.00697 0.00928
0.6612000 1.02678 0.00921
0.6664000 1.03072 0.00931
0.6719000 1.01324 0.00926
0.6772000 1.01455 0.00913
0.6824000 1.03315 0.00933
0.6885000 0.99565 0.03199
0.6942000 1.02496 0.02063
0.6995000 1.02516 0.00928
0.7049000 1.03325 0.00953
0.7104000 1.00980 0.03384
0.7156000 1.01021 0.00951
0.7210000 1.00182 0.00971
0.7262000 1.01021 0.01039
0.7314000 1.01849 0.01007
0.7366000 1.00323 0.01005
0.7420000 1.01930 0.04311
0.7472000 1.00283 0.01008
0.7524000 1.00384 0.01032
0.7582000 0.99535 0.01236
0.7664000 1.02193 0.01260
0.7722000 1.01233 0.03361
0.7776000 0.99939 0.01181
0.7828000 1.01263 0.01210
0.7880000 0.95897 0.01194
0.7932000 0.98181 0.01266
0.7984000 1.00121 0.01262
0.8036000 0.99343 0.01265
0.8089000 0.98828 0.01244
0.8141000 0.97595 0.01272
0.8193000 0.96978 0.01307
0.8245000 0.98413 0.01287
0.8297000 0.97746 0.01435
0.8352000 1.00647 0.01433
0.8412000 0.97676 0.01495
0.8470000 0.97686 0.01514
0.8536000 0.98140 0.01532
0.8601000 1.01112 0.01551
0.8659000 0.97898 0.01570
0.8720000 0.96867 0.01589
0.8789000 1.01213 0.01608
0.8852000 0.95341 0.01626
0.8904000 0.96574 0.01645
0.8959000 0.97524 0.01664
