0.330 0.0300   .87 .06
0.340 0.0220   .86 .06
0.355 0.0300   .86 .06
0.400 0.0245   .90 .04
0.430 0.0260   .94 .04
0.470 0.0252   .95 .03
0.500 0.0258   .99 .04
0.540 0.0265   .96 .04
0.570 0.0270  1.02 .03
0.600 0.0285  1.01 .04
0.635 0.0295  1.08 .05
0.670 0.0245  1.09 .06
0.700 0.0255  1.12 .04
0.730 0.0265  1.10 .03
0.765 0.0275  1.14 .05
0.800 0.0285  1.13 .06
0.830 0.0295  1.15 .05
0.870 0.0240  1.12 .04
0.900 0.0250  1.10 .04
0.950 0.0510  1.16 .06
1.000 0.0280  1.23 .04
