0.330 0.0300   .76 .03
0.355 0.0300   .85 .03
0.400 0.0245   .87 .03
0.430 0.0260   .88 .03
0.470 0.0252   .93 .03
0.500 0.0258   .94 .03
0.540 0.0265   .99 .03
0.570 0.0270  1.02 .03
0.600 0.0285   .98 .03
0.635 0.0295   .99 .03
0.670 0.0245  1.00 .03
0.700 0.0255  1.01 .06
0.730 0.0265   .97 .03
0.765 0.0275  1.04 .03
0.800 0.0285  1.00 .03
0.830 0.0295  1.01 .03
0.870 0.0240  1.00 .03
0.900 0.0250   .94 .03
0.930 0.0260   .91 .03
0.970 0.0270   .99 .03
1.000 0.0280   .95 .03
1.030 0.0290   .94 .05
