0.330 0.0300   .58 .15
0.340 0.0220   .60 .05
0.355 0.0300   .62 .05
0.400 0.0245   .71 .03
0.430 0.0260   .73 .03
0.470 0.0252   .81 .03
0.500 0.0258   .87 .03
0.540 0.0265   .94 .03
0.570 0.0270  1.00 .03
0.600 0.0285  1.04 .03
0.635 0.0295  1.11 .03
0.670 0.0245  1.13    
0.700 0.0255  1.17 .03
0.730 0.0265  1.17 .03
0.765 0.0275  1.20 .03
0.800 0.0285  1.20 .03
0.830 0.0295  1.19 .03
0.870 0.0240  1.12 .03
0.900 0.0250  1.10 .03
0.930 0.0260  1.16 .05
0.970 0.0270  1.14 .05
1.000 0.0280  1.20 .05
1.030 0.0290  1.24 .05
