0.355 0.0300  1.18 .09
0.400 0.0245   .87 .06
0.430 0.0260   .91 .08
0.470 0.0252   .89 .07
0.500 0.0258  1.21 .10
0.540 0.0265   .97 .06
0.570 0.0270   .80 .10
0.600 0.0285   .94 .20
0.635 0.0295  1.09 .06
0.670 0.0245  1.12 .05
0.700 0.0255  1.06 .09
0.730 0.0265  1.02 .15
0.765 0.0275  1.14 .08
0.800 0.0285  1.05 .26
0.830 0.0295  1.27 .06
0.870 0.0240  1.05 .06
0.900 0.0250  1.11 .06
0.930 0.0260  1.17 .08
0.970 0.0270  1.02 .08
1.000 0.0280  1.09 .08
1.030 0.0290  1.14 .08
