wave,refl,refl_err
0.8289,1.2341,
0.8533,1.2312,
0.8776,1.2375,
0.9021,1.2414,
0.9265,1.2297,
0.951,1.2385,
0.9755,1.2417,
1.0001,1.2343,
1.0247,1.2283,
1.0493,1.2274,
1.074,1.2279,
1.0987,1.241,
1.1234,1.2559,
1.1482,1.2744,
1.173,1.3009,
1.1978,1.3048,
1.2227,1.3174,
1.2476,1.3252,
1.2726,1.32,
1.2976,1.3364,
1.3226,1.34,
1.3476,1.3455,
1.3727,1.3491,
1.3978,1.363,
1.423,1.3957,
1.4482,1.4287,
1.4734,1.4508,
1.4987,1.4679,
1.524,1.4747,
1.549,1.5136,
1.5747,1.51,
1.6001,1.5241,
1.491,1.4809,
1.552,1.4932,
1.615,1.5096,
1.675,1.5158,
1.735,1.5144,
1.795,1.5056,
1.853,1.4922,
1.913,1.5036,
1.97,1.5173,
2.028,1.5228,
2.084,1.5404,
2.14,1.5514,
2.196,1.552,
2.252,1.5544,
2.306,1.5595,
2.361,1.5633,
2.414,1.5651,
2.466,1.5893,
2.519,1.5702,
2.57,1.5056,
