A   4   1.106  0.937  1.015  0.083   0.836  0.703  0.779  0.058   0.434  0.332  0.381  0.042   0.339  0.277  0.305  0.068   0.276  0.166  0.240  0.051   0.214  0.056  0.141  0.073   0.130 -0.083  0.034  0.096
B   6   0.233  0.167  0.192  0.025   0.125  0.060  0.098  0.027   0.002 -0.032 -0.015  0.017   0.022 -0.060 -0.011  0.027  -0.012 -0.088 -0.038  0.028  -0.029 -0.106 -0.062  0.034  -0.045 -0.197 -0.100  0.055
C  88   0.380  0.098  0.245  0.064   0.247  0.062  0.155  0.044   0.078 -0.040  0.024  0.025   0.069 -0.042  0.003  0.025   0.075 -0.038  0.019  0.029   0.080 -0.070  0.019  0.033   0.144 -0.093  0.028  0.045
D  26   0.279  0.044  0.128  0.052   0.214  0.059  0.103  0.038   0.136  0.025  0.067  0.027   0.194  0.098  0.153  0.024   0.321  0.183  0.273  0.031   0.431  0.231  0.340  0.055   0.487  0.226  0.367  0.066
F  13   0.088 -0.070  0.020  0.045   0.050 -0.073 -0.014  0.036  -0.025 -0.079 -0.049  0.016   0.027 -0.017  0.008  0.014   0.031 -0.046 -0.013  0.025   0.013 -0.074 -0.032  0.029  -0.006 -0.176 -0.066  0.050
G   5   0.454  0.391  0.420  0.026   0.327  0.263  0.290  0.025   0.098  0.047  0.069  0.021   0.021 -0.052 -0.020  0.030  -0.001 -0.014 -0.005  0.005   0.023 -0.023 -0.002  0.022   0.029 -0.031 -0.003  0.025
Q   1   0.746  0.746  0.746 -9.999   0.434  0.434  0.434 -9.999   0.153  0.153  0.153 -9.999   0.091  0.091  0.091 -9.999  -0.042 -0.042 -0.042 -9.999  -0.163 -0.163 -0.163 -9.999  -0.168 -0.168 -0.168 -9.999
R   1   0.765  0.765  0.765 -9.999   0.567  0.567  0.567 -9.999   0.254  0.254  0.254 -9.999   0.190  0.190  0.190 -9.999  -0.042 -0.042 -0.042 -9.999  -0.124 -0.124 -0.124 -9.999  -0.008 -0.008 -0.008 -9.999
S 144   0.850  0.365  0.552  0.105   0.619  0.279  0.419  0.075   0.294  0.085  0.188  0.041   0.282  0.077  0.169  0.034   0.290  0.054  0.159  0.050   0.302  0.003  0.138  0.057   0.318 -0.058  0.160  0.075
T   4   0.353  0.296  0.316  0.027   0.271  0.223  0.239  0.022   0.123  0.092  0.105  0.014   0.146  0.093  0.116  0.023   0.254  0.187  0.215  0.029   0.290  0.202  0.226  0.043   0.357  0.160  0.223  0.091
X  73   0.270 -0.067  0.117  0.082   0.216 -0.060  0.080  0.051   0.085 -0.043  0.028  0.025   0.113  0.020  0.068  0.022   0.200  0.013  0.105  0.039   0.220 -0.005  0.123  0.042   0.257  0.028  0.132  0.050
- 405  -9.999 -9.999  0.652  0.428  -9.999 -9.999  0.428  0.142  -9.999 -9.999  0.142  0.085  -9.999 -9.999  0.085 -0.168  -9.999 -9.999 -0.168 -0.268  -9.999 -9.999 -0.268  0.004  -9.999 -9.999  0.004  0.000
